point_id,point_title,point_source,point_analysis,point_quote_text,point_quote_start,point_quote_end,point_document_id,service_name,cases.case_id,cases.case_classification,cases.case_title,cases.case_description,cases.case_topic,score_rubric,Referenced_Text,Ground_Truth_Score,Company,Classification_Code,Specific_Rubric,Predicted_Score,Predicted_Score_Batch
17475,Blocking first party cookies may limit your ability to use the service,https://telegram.org/privacy,Generated through the annotate view,"You may choose to block cookies with your web browser, however, if you do disable these cookies you will not be able to log in to Telegram Web.</p>",10440.0,10588.0,2058.0,Telegram,375,neutral,Blocking first party cookies may limit your ability to use the service,"Most browsers allow users to set preferences related to cookies storage. You may choose to block all cookies (including first-party cookies), but it may impact your use of this service and you may not be able to access some or any of the features provided.",Trackers,"-1: The service deploys extensive tracking technologies without disclosure, a lawful basis, or any ability for the user to refuse, contrary to Article 5(3) ePrivacy Directive and the consent requirements of the GDPR.
0: Trackers are disclosed and some consent or opt-out is offered, but non-essential tracking is enabled by default or is difficult to refuse.
1: Only strictly necessary trackers are used, or non-essential tracking requires freely given, specific and informed opt-in consent that is as easy to refuse as to give.","You may choose to block cookies with your web browser, however, if you do disable these cookies you will not be able to log in to Telegram Web.",0.0,Telegram,Trackers,"-1: The service deploys extensive tracking technologies without disclosure, a lawful basis, or any ability for the user to refuse, contrary to Article 5(3) ePrivacy Directive and the consent requirements of the GDPR.
0: Trackers are disclosed and some consent or opt-out is offered, but non-essential tracking is enabled by default or is difficult to refuse.
1: Only strictly necessary trackers are used, or non-essential tracking requires freely given, specific and informed opt-in consent that is as easy to refuse as to give.",0,0
17477,"This service collects your IP address, which can be used to view your approximate location",https://telegram.org/privacy,Generated through the annotate view,"To improve the security of your account, as well as to prevent spam, abuse, and other violations of our Terms of Service, we may collect metadata such as your IP address, devices and Telegram apps you've used, history of username changes, etc.",12727.0,12970.0,2058.0,Telegram,399,neutral,"Your IP address is collected, which can be used to view your approximate location",,Types of Information Collected,"-1: The categories of information collected are not disclosed, or collection is open-ended and excessive relative to what the service requires.
0: The categories of information collected are disclosed but only broadly or vaguely, or collection exceeds what is necessary for the service.
1: The categories of information collected are clearly and specifically disclosed and limited to what is necessary to provide the service.","To improve the security of your account, as well as to prevent spam, abuse, and other violations of our Terms of Service, we may collect metadata such as your IP address, devices and Telegram apps you've used, history of username changes, etc.",0.0,Telegram,Types of Information Collected,"-1: The categories of information collected are not disclosed, or collection is open-ended and excessive relative to what the service requires.
0: The categories of information collected are disclosed but only broadly or vaguely, or collection exceeds what is necessary for the service.
1: The categories of information collected are clearly and specifically disclosed and limited to what is necessary to provide the service.",1,0
17479,You have the right to leave this service at any time,https://telegram.org/privacy,Generated through the annotate view,You can delete your Telegram account by proceeding to the deactivation page.</p>,22301.0,22381.0,2058.0,Telegram,170,good,You have the right to leave this service at any time,"You can stop using the service and/or cancel or delete your account at any time for any reason. Moreover, the termination is reasonably fast and simple.",Right to Leave The Service,"-1: The user cannot freely terminate, or cannot delete or retrieve their data and content upon leaving, resulting in lock-in contrary to Article 16(4) Directive 2019/770 and the portability right of Article 20 GDPR.
0: The user may leave and delete or retrieve some of their data and content, but retrieval or portability is only partial or burdensome.
1: The user may freely terminate the contract and retrieve and delete all of their data and content, with data portability supported.",You can delete your Telegram account by proceeding to the deactivation page.,1.0,Telegram,Right to Leave The Service,"-1: The user cannot freely terminate, or cannot delete or retrieve their data and content upon leaving, resulting in lock-in contrary to Article 16(4) Directive 2019/770 and the portability right of Article 20 GDPR.
0: The user may leave and delete or retrieve some of their data and content, but retrieval or portability is only partial or burdensome.
1: The user may freely terminate the contract and retrieve and delete all of their data and content, with data portability supported.",1,1
17472,"Secret chats content is encrypted, and this service cannot decrypt it",https://telegram.org/privacy,Generated through the annotate view,"Secret chats</em> use end-to-end encryption.
This means that all data is encrypted with a key that only you and the recipient know.",6841.0,6972.0,2058.0,Telegram,372,good,"User-generated content is encrypted, and this service cannot decrypt it","Content generated by the users is end-to-end encrypted, in a way that it can't be accessed by anyone unauthorised, and even the service has no technical means to decrypt it.",Content,"-1: Content restrictions are so broad, vague or discretionary that they unduly restrict lawful expression and permit the company to act arbitrarily against the user.
0: Content rules are defined but remain broad, leaving significant interpretive discretion to the company over what is permitted.
1: Content rules are clear, specific and limited to unlawful or genuinely harmful content, with predictable and proportionate enforcement.",Secret chats use end-to-end encryption. This means that all data is encrypted with a key that only you and the recipient know.,1.0,Telegram,Content,"-1: Content restrictions are so broad, vague or discretionary that they unduly restrict lawful expression and permit the company to act arbitrarily against the user.
0: Content rules are defined but remain broad, leaving significant interpretive discretion to the company over what is permitted.
1: Content rules are clear, specific and limited to unlawful or genuinely harmful content, with predictable and proportionate enforcement.",0,1
17481,The app is open-source,https://telegram.org/privacy,Generated through the annotate view,Telegram is an open source project.,25714.0,25750.0,2058.0,Telegram,485,good,The service is open-source,The code of the software is open-source and the users can have access to the source code.,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",Telegram is an open source project.,1.0,Telegram,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",1,1
14681,The service provides details about what kinds of personal information they collect,https://telegram.org/privacy,Generated through the annotate view,what personal data we may collect from you;</li>,3596.0,3644.0,2058.0,Telegram,228,good,Information is provided about what kind of information they collect,The Privacy Policy describes in detail the data collected through the website and through the services provided.,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",what personal data we may collect from you;,1.0,Telegram,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",0,0
17482,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",https://telegram.org/faq,Generated through the annotate view,"What are your thoughts on internet privacy?
<p>Big internet companies like Facebook or Google have effectively hijacked the privacy discourse in the recent years.
Their marketers managed to convince the public that the most important things about privacy are superficial tools that allow hiding your public posts from the people around you.
Adding these superficial tools enables companies to calm down the public and change nothing in how they are turning over private data to marketers and other third parties.</p>
<p>At Telegram we think that the two most important components of Internet privacy should be instead:</p>
<ol>
<li>Protecting your private conversations from snooping third parties, such as officials, employers, etc.</li>
<li>Protecting your personal data from third parties, such as marketers, advertisers, etc.</li>
</ol>
<p>This is what everybody should care about, and these are some of our top priorities.",9372.0,10299.0,2060.0,Telegram,332,good,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics","If a service expresses a worldview antithetical to the user’s, that is a good signal that they should not use the service. Or conversely, if the service expresses an uncommonly-held belief that the user agrees with and thinks is relevant to the service-user relationship and/or important, they may wish to use that to choose between otherwise comparable services.",Governance,"-1: The company retains wholly unilateral and discretionary governance over the service and its community, with no user participation, published decision-making criteria, or accountability mechanisms.
0: Some governance structures exist (e.g. published community guidelines or moderation rules), but users have no voice in decisions and enforcement remains at the company's discretion.
1: The service provides transparent governance with meaningful community participation, such as consultation on substantial decisions, published moderation criteria, and accessible appeal or redress procedures.","What are your thoughts on internet privacy? Big internet companies like Facebook or Google have effectively hijacked the privacy discourse in the recent years. Their marketers managed to convince the public that the most important things about privacy are superficial tools that allow hiding your public posts from the people around you. Adding these superficial tools enables companies to calm down the public and change nothing in how they are turning over private data to marketers and other third parties. At Telegram we think that the two most important components of Internet privacy should be instead: Protecting your private conversations from snooping third parties, such as officials, employers, etc. Protecting your personal data from third parties, such as marketers, advertisers, etc. This is what everybody should care about, and these are some of our top priorities.",1.0,Telegram,Governance,"-1: The company retains wholly unilateral and discretionary governance over the service and its community, with no user participation, published decision-making criteria, or accountability mechanisms.
0: Some governance structures exist (e.g. published community guidelines or moderation rules), but users have no voice in decisions and enforcement remains at the company's discretion.
1: The service provides transparent governance with meaningful community participation, such as consultation on substantial decisions, published moderation criteria, and accessible appeal or redress procedures.",0,0
25428,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",https://telegram.org/tos,Generated through the annotate view,"<p>By signing up for Telegram, you accept our Privacy Policy and agree not to:</p>
<ul>
<li>Use our service to send spam or scam users.",0.0,135.0,2059.0,Telegram,281,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages","Users are not allowed to use the service for chain letters, junk mail, spamming or any other distribution of content to people who have not agreed to receiving it.",Content,"-1: Content restrictions are so broad, vague or discretionary that they unduly restrict lawful expression and permit the company to act arbitrarily against the user.
0: Content rules are defined but remain broad, leaving significant interpretive discretion to the company over what is permitted.
1: Content rules are clear, specific and limited to unlawful or genuinely harmful content, with predictable and proportionate enforcement.","By signing up for Telegram, you accept our Privacy Policy and agree not to: Use our service to send spam or scam users.",0.0,Telegram,Content,"-1: Content restrictions are so broad, vague or discretionary that they unduly restrict lawful expression and permit the company to act arbitrarily against the user.
0: Content rules are defined but remain broad, leaving significant interpretive discretion to the company over what is permitted.
1: Content rules are clear, specific and limited to unlawful or genuinely harmful content, with predictable and proportionate enforcement.",1,1
8187,"If you are the target of a copyright claim, your content may be removed",https://telegram.org/faq,,"i>
</i>Q: A bot or channel is infringing on my copyright.
What do I do?
<p>All Telegram chats and group chats are private amongst their participants.
We do not process any requests related to them.
But <strong>sticker sets</strong>, <strong>channels</strong>, and <strong>bots</strong> on Telegram are <em>publicly available</em>.</p>
<p>If you see a bot, channel, or sticker set that is infringing on your copyright, kindly submit a complaint to dmca@telegram.org.
Please note that such requests should only be submitted by the copyright owner or an agent authorized to act on the owner’s behalf.</p>
<i>
</i>Q: Wait! 0_o Do you process take-down requests from third parties?
<p>Our mission is to provide a secure means of communication that works everywhere on the planet.
To do this in the places where it is most needed (and to continue distributing Telegram through the App Store and Google Play), we have to process legitimate requests to take down illegal <strong>public</strong> content (e.g., sticker sets, bots, and channels) within the app.
For example, we can take down sticker sets that violate intellectual property rights or porn bots.</p>
<p>User-uploaded stickers sets, channels, and bots by third-party developers are not part of the core Telegram UI.
Whenever we receive a complaint at abuse@telegram.org or dmca@telegram.org regarding the legality of public content, we perform the necessary legal checks and take it down when deemed appropriate.</p>
<p>Please note that this does <strong>not</strong> apply to local restrictions on freedom of speech.
For example, if criticizing the government is illegal in some country, Telegram won't be a part of such politically motivated censorship.
This goes against our founders' principles.
While we do block terrorist (e.g.
ISIS-related) bots and channels, we will not block anybody who peacefully expresses alternative opinions",12370.0,14262.0,2060.0,Telegram,310,neutral,"If you are the target of a copyright claim, your content may be removed",The content you have published on the service may be removed if it infringes copyright.,Suspension and Censorship,"-1: The company reserves the right to suspend the account or remove or censor lawful content at any time without serious grounds, prior notice, or any possibility of appeal.
0: Suspension or content removal is limited to stated grounds but lacks a notice period, or includes notice but relies on broad or vague grounds.
1: Suspension or content removal is confined to serious, specified grounds with a statement of reasons, prior notice, and a right of appeal consistent with Article 17 DSA, or no such right is reserved at all.","i> Q: A bot or channel is infringing on my copyright. What do I do? All Telegram chats and group chats are private amongst their participants. We do not process any requests related to them. But sticker sets , channels , and bots on Telegram are publicly available . If you see a bot, channel, or sticker set that is infringing on your copyright, kindly submit a complaint to dmca@telegram.org. Please note that such requests should only be submitted by the copyright owner or an agent authorized to act on the owner’s behalf. Q: Wait! 0_o Do you process take-down requests from third parties? Our mission is to provide a secure means of communication that works everywhere on the planet. To do this in the places where it is most needed (and to continue distributing Telegram through the App Store and Google Play), we have to process legitimate requests to take down illegal public content (e.g., sticker sets, bots, and channels) within the app. For example, we can take down sticker sets that violate intellectual property rights or porn bots. User-uploaded stickers sets, channels, and bots by third-party developers are not part of the core Telegram UI. Whenever we receive a complaint at abuse@telegram.org or dmca@telegram.org regarding the legality of public content, we perform the necessary legal checks and take it down when deemed appropriate. Please note that this does not apply to local restrictions on freedom of speech. For example, if criticizing the government is illegal in some country, Telegram won't be a part of such politically motivated censorship. This goes against our founders' principles. While we do block terrorist (e.g. ISIS-related) bots and channels, we will not block anybody who peacefully expresses alternative opinions",0.0,Telegram,Suspension and Censorship,"-1: The company reserves the right to suspend the account or remove or censor lawful content at any time without serious grounds, prior notice, or any possibility of appeal.
0: Suspension or content removal is limited to stated grounds but lacks a notice period, or includes notice but relies on broad or vague grounds.
1: Suspension or content removal is confined to serious, specified grounds with a statement of reasons, prior notice, and a right of appeal consistent with Article 17 DSA, or no such right is reserved at all.",0,1
11971,You can request access and deletion of personal data,https://telegram.org/privacy,Generated through the annotate view,"You have a right to: <em>(1)</em> request a copy of all your personal data that we store and to transmit that copy to another data controller.
<em>(2)</em> delete (see section 10 below) or amend your personal data.
<em>(3)</em> restrict, or object to, the processing of your personal data.
<em>(4)</em> correct any inaccurate or incomplete personal data we hold on you.
and <em>(5)</em> lodge a complaint with national data protection authorities regarding our processing of your personal data.",21317.0,21811.0,2058.0,Telegram,195,good,"You can request access, correction and/or deletion of your data","Users have the right to access personal data hold by the Service, correct it and/or permanently delete it. This usually applies to Services GDPR compliants. ",User Choice,"-1: The user is offered no meaningful choices: data use, settings and features are imposed by default with no ability to opt out.
0: Some choices or opt-outs are provided, but they are limited, defaulted against the user's interest, or difficult to exercise.
1: The user is given meaningful, granular and easily exercisable choices over how their data is used and how the service is configured.","You have a right to: (1) request a copy of all your personal data that we store and to transmit that copy to another data controller. (2) delete (see section 10 below) or amend your personal data. (3) restrict, or object to, the processing of your personal data. (4) correct any inaccurate or incomplete personal data we hold on you. and (5) lodge a complaint with national data protection authorities regarding our processing of your personal data.",1.0,Telegram,User Choice,"-1: The user is offered no meaningful choices: data use, settings and features are imposed by default with no ability to opt out.
0: Some choices or opt-outs are provided, but they are limited, defaulted against the user's interest, or difficult to exercise.
1: The user is given meaningful, granular and easily exercisable choices over how their data is used and how the service is configured.",1,1
17469,The terms for this service are translated into different languages,https://telegram.org/privacy,Generated through the annotate view,"English</li>
<li>Bahasa Indonesia</li>
<li>Bahasa Melayu</li>
<li>Deutsch</li>
<li>Español</li>
<li>Français</li>
<li>Italiano</li>
<li>Nederlands</li>
<li>O‘zbek</li>
<li>Polski</li>
<li>Português (Brasil)</li>
<li>Türkçe</li>
<li>Беларуская</li>
<li>Русский</li>
<li>Українська</li>
<li>العربية</li>
<li>فارسی</li>
<li>한국어",40.0,364.0,2058.0,Telegram,198,neutral,The terms for this service are translated into different languages,"Although there's generally a unique binding language for the terms, they are translated to allow all users to understand the agreement they're accepting, no matter their native language.",Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",English Bahasa Indonesia Bahasa Melayu Deutsch Español Français Italiano Nederlands O‘zbek Polski Português (Brasil) Türkçe Беларуская Русский Українська العربية فارسی 한국어,0.0,Telegram,Transparency,"-1: The terms and policies are inaccessible, unclear, or not drafted in plain and intelligible language, contrary to the transparency requirement of Article 5 Directive 93/13.
0: Information is provided, but it is incomplete, dense, or difficult to navigate, hindering the user's understanding.
1: The terms and data practices are presented in clear, plain, accessible and easily comprehensible language that supports an informed decision by the user.",-1,1
17478,The service promises to inform and/or notify users regarding government inquiries that may involve users' personal data,https://telegram.org/privacy,Generated through the annotate view,"Telegram receives a court order that confirms you're a terror suspect, we may disclose your IP address and phone number to the relevant authorities.
So far, this has never happened.
When it does, we will include it in a semiannual transparency report published at: https://t.me/transparency.</p>
<i>",20805.0,21104.0,2058.0,Telegram,165,good,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,"In case the Government governing the Terms requests personal data of a user of this service, they will make reasonable efforts to inform/notify the user (e.g. warrant canary).",Law and Government Requests,"-1: The service discloses user data to governments or law enforcement without requiring valid legal process, without notifying the user, and without any transparency reporting.
0: Disclosure is limited to valid legal requests, but the service provides no user notice and no transparency reporting on the requests it receives.
1: Disclosure is confined to valid legal process, with notice to the affected user wherever lawful, regular transparency reporting, and a commitment to challenge overbroad or unlawful requests.","Telegram receives a court order that confirms you're a terror suspect, we may disclose your IP address and phone number to the relevant authorities. So far, this has never happened. When it does, we will include it in a semiannual transparency report published at: https://t.me/transparency.",1.0,Telegram,Law and Government Requests,"-1: The service discloses user data to governments or law enforcement without requiring valid legal process, without notifying the user, and without any transparency reporting.
0: Disclosure is limited to valid legal requests, but the service provides no user notice and no transparency reporting on the requests it receives.
1: Disclosure is confined to valid legal process, with notice to the affected user wherever lawful, regular transparency reporting, and a commitment to challenge overbroad or unlawful requests.",0,1
