split,eval_text,nearest_train_text,cosine_similarity
validation,"Your Personal Information may be stored and processed in any country where we have facilities or in which we engage service providers, and by using the Sites and Service you consent to the transfer of information to countries outside of your country of residence, including the United States, which may have data protection rules that are different from those of your country.","Your Personal Information may be stored and processed in any country where we have facilities or in which we engage service providers, and by using the Services you consent to the transfer of information to countries outside of your country of residence, including the United States, which may have data protection rules that are different from those of your country.",0.9929187878203932
validation,(with a right to sublicense),(with the right to sublicense),0.9927104683703
validation,"You agree fully to indemnify, defend and hold us, and our officers, directors, employees, agents and suppliers, harmless immediately on demand, from and against all claims, liability, damages, losses, costs and expenses, including reasonable legal fees, arising out of any breach of the Conditions by You or any other liabilities arising out of Your use of this Website, or the use by any other person accessing the Website using Your computer and/or Your Personal Information.</p>","You agree fully to indemnify, defend and hold us, and our officers, directors, employees, agents and suppliers, harmless immediately on demand, from and against all claims, liability, damages, losses, costs and expenses, including reasonable legal fees, arising out of any breach of the Conditions by You or any other liabilities arising out of Your use of this Website, or the use by any other person accessing the Website using Your computer and/or Your Personal Information.",0.9920823167326079
validation,"If any provision of the Terms is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties' intentions as reflected in the provision, and the other provisions of the Terms remain in full force and effect.
</p","If any provision of the Terms is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties' intentions as reflected in the provision, and the other provisions of the Terms remain in full force and effect.",0.992072593725172
validation,"The right to data portability – You have the right to request that we transfer the data that we have collected to another organization, or directly to you, under certain conditions.</p>
<p>If you make a request, we have one month to respond to you.
If you would like to exercise any of these rights, please contact us.</p","The right to data portability – You have the right to request that we transfer the data that we have collected to another organization, or directly to you, under certain conditions.</p>
<p>If you make a request, we have one month to respond to you.
If you would like to exercise any of these rights, please contact us.</p>",0.9917918437819817
test,"We reserve the right, but are not obligated, to remove or disable access to any Content, at any time and without notice, including but not limited to, if we, at our sole discretion, consider any Content to be objectionable or in violation of these Terms.","We reserve the right, but are not obligated, to remove or disable access to any Content, at any time and without notice, including, but not limited to, if we, at our sole discretion, consider any Content to be objectionable or in violation of these Terms.",0.9917461312779946
validation,"Although we have no obligation to screen, edit or monitor User Content, we may delete or remove User Content at any time and for any reason.</p>","Although we have no obligation to screen, edit or monitor User Content, we may delete or remove User Content at any time and for any reason.</p>
<p>",0.9917267677639724
validation,"When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action","When we detect spam, malware, illegal content, and other forms of abuse on our systems in violation of our policies, we may disable your account or take other appropriate action.",0.9917030343866358
validation,Our failure to exercise or enforce any right or provision of these Terms of Use will not operate as a waiver of such right or provision.,The failure of to exercise or enforce any right or provision of these Terms will not operate as a waiver of such right or provision.,0.9915638559352208
validation,"How browsers communicate the Do Not Track signal is not yet uniform.
As a result, the Website and Services are not yet set up to interpret or respond to Do Not Track signals communicated by your browser.","How browsers communicate the Do Not Track signal is not yet uniform.
As a result, the Services are not yet set up to interpret or respond to Do Not Track signals communicated by your browser.",0.9904201349616296
validation,"<p>Forbes affiliates.
service providers.
event sponsors.
business and advertising partners</p>
<p>Commercial information</p>
<p>Records of products or services purchased, purchasing or consuming histories or tendencies.</p>","<p>Forbes affiliates.
service providers.
event sponsors.
business and advertising partners</p>
<p>Commercial information</p>
<p>Records of products or services purchased, purchasing or consuming histories or tendencies.",0.9903515349481246
validation,"WITHOUT WARRANTY OF ANY KIND, EXPRESS OR
IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY,
FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT","WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT.",0.9901897182321676
test,"Los Contenidos incluidos en el Sitio Web se facilitan únicamente a consumidores o Usuarios finales.
Cualquier uso comercial no autorizado de los mismos, o su reventa, quedan prohibidos, salvo que se cuente con la previa autorización escrita de UNIDAD EDITORIAL.</p>","Los contenidos incluidos en el Sitio Web se facilitan únicamente a consumidores o Usuarios finales.
Cualquier uso comercial no autorizado de los mismos, o su reventa, quedan prohibidos, salvo que se cuente con la previa autorización escrita de UNIDAD EDITORIAL.",0.9899352617394344
validation,"All charges are nonrefundable unless provided otherwise in the terms you agree to when you register for a fee-based Service, unless stated differently for your country in Section 14 or as otherwise specified below.</p>","All charges are nonrefundable unless provided otherwise in the terms you agree to when you register for a fee-based Service, unless stated differently for your country in Section 14 or as otherwise specified below.</p>
</li>",0.9889773593520897
test,"Although Zoom is not responsible for any Content, Zoom may delete any Content, at any time without notice to You, if Zoom becomes aware that it violates any provision of this Agreement, or any law","Although Zoom is not responsible for any Content, Zoom may delete any Content, at any time without notice to You, if Zoom becomes aware that it violates any provision of this Agreement, or any law.",0.9886386117834225
test,USE OF THE SERVICES WILL BE UNINTERRUPTED OR ERROR-FREE.,THAT USE OF THE SERVICES WILL BE UNINTERRUPTED OR ERROR-FREE.,0.9886267002631429
test,"<p>If any term, clause or provision of these Terms is held invalid or unenforceable, then that term, clause or provision will be severable from these Terms and will not affect the validity or enforceability of any remaining part of that term, clause or provision, or any other term, clause or provision of these Terms.","If any term, clause or provision of these Terms is held invalid or unenforceable, then that term, clause or provision will be severable from these Terms and will not affect the validity or enforceability of any remaining part of that term, clause or provision, or any other term, clause or provision of these Terms.</p>",0.9882718464797715
test,"(III) THE RESULTS THAT MAY BE OBTAINED FROM THE USE OF THE SERVICES WILL BE ACCURATE OR RELIABLE,","(III) THE RESULTS THAT MAY BE OBTAINED FROM THE USE OF THE SERVICE WILL BE ACCURATE OR RELIABLE,",0.9882366610304368
test,"We may amend this Agreement (including any policies, such as the Privacy Policy, Acceptable Use Policy, Copyright Policy, and Trademark Policy that are incorporated into this Agreement) at any time, in our sole discretion.","We may amend this Agreement (including any policies, such as the Privacy Policy , Acceptable Use Policy, Copyright Policy, and Trademark Policy that are incorporated into this Agreement) at any time, in our sole discretion.",0.9882082499322687
validation,"You assume full responsibility and risk of loss resulting from your downloading and/or use of files, information, content or other material obtained from the Service.","You assume full responsibility and risk of loss resulting
from your downloading and/or use of files, information, content or other
material obtained from the Service",0.9877486719542915
test,"However, if you are a resident of Northern Ireland you may also bring proceedings in Northern Ireland, and if you are a resident of Scotland, you may also bring proceedings in Scotland.","If you are a resident of Northern Ireland you may also bring proceedings in Northern Ireland, and if you are a resident of Scotland, you may also bring proceedings in Scotland.",0.9871884585400048
validation,The personal data we collect,Personal data we collect,0.986634516455566
test,"Tracking technologies used are beacons, tags, and scripts to collect and track information and to improve and analyze Our Service.","Tracking technologies also used are beacons, tags, and scripts to collect and track information and to improve and analyze our Service.",0.9865772569156648
validation,"El Usuario tendrá derecho a formular una queja o reclamación ante la Agencia Española de Protección de Datos (www.aepd.es) y ante el Delegado de Protección de Datos del Grupo Prisa (dpo@prisa.com).</p>
</li>","<p>El Usuario tendrá derecho a formular una queja o reclamación ante la Agencia Española de Protección de Datos (www.aepd.es) y ante el Delegado de Protección de Datos del Grupo Prisa (dpo@prisa.com).</p>
</li>",0.9862516308220259
test,"However, we do not recognize or respond to browser-initiated DNT signals, as the Internet industry is currently still working toward defining exactly what DNT means, what it means to comply with DNT, and a common approach to responding to DNT.","We do not recognize or respond to browser-initiated DNT signals, as the Internet industry is currently still working toward defining exactly what DNT means, what it means to comply with DNT, and a common approach to responding to DNT.",0.9862153508788999
test,"c. Additionally, there may be times when we need to remove or change features or functionality of the Service or stop providing a Service or access to Third-Party Apps and Services altogether.","Additionally, there may be times when we need to remove or change features or functionality of the Service or stop providing a Service or access to Third-Party Apps and Services altogether. ",0.9858263597999397
test,"Alibaba.com does not endorse, verify or otherwise certify the contents of any comments or other material or information (including User Content) created, submitted, posted, displayed or otherwise made by any Member","Alibaba.com does not endorse, verify or otherwise certify the contents of any comments or other material or information (including User Content) created, submitted, posted, displayed or otherwise made by any Member.",0.9853513657790471
validation,"If any provision of these Terms is held to be invalid
or unenforceable, the other provisions of these Terms will be unimpaired and the
invalid or unenforceable provision will be deemed modified so that it is valid and
enforceable to the maximum extent permitted by law.","If any provision of these Terms is, for any reason, held to be invalid or unenforceable, the other provisions of these Terms will be unimpaired and the invalid or unenforceable provision will be deemed modified so that it is valid and enforceable to the maximum extent permitted by law.",0.9850911169667608
validation,"Except as provided in Exhibit A, the Parties consent to the exclusive jurisdiction and venue of the state courts located in and serving Santa Clara County, California and the federal courts in the Northern District of California","Except as provided in Exhibit A, the Parties consent to the exclusive jurisdiction and venue of the state courts located in and serving Santa Clara County, California and the federal courts in the Northern District of California.",0.9849806283325797
validation,"TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT WILL TINDER, ITS AFFILIATES, EMPLOYEES, LICENSORS OR SERVICE PROVIDERS BE LIABLE FOR ANY INDIRECT, CONSEQUENTIAL, EXEMPLARY, INCIDENTAL, SPECIAL OR PUNITIVE DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, WHETHER INCURRED DIRECTLY OR INDIRECTLY, OR ANY LOSS OF DATA, USE, GOODWILL, OR OTHER INTANGIBLE LOSSES, RESULTING FROM: (I) YOUR ACCESS TO OR USE OF OR INABILITY TO ACCESS OR USE THE SERVICES, (II) THE CONDUCT OR CONTENT OF OTHER USERS OR THIRD PARTIES ON, THROUGH, OR FOLLOWING USE OF THE SERVICES; OR (III) UNAUTHORIZED ACCESS, USE OR ALTERATION OF YOUR CONTENT, EVEN IF TINDER HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.","TO THE FULLEST EXTENT PERMITTED BY APPLICABLE LAW, IN NO EVENT WILL TINDER, ITS AFFILIATES, EMPLOYEES, LICENSORS OR SERVICE PROVIDERS BE LIABLE FOR ANY INDIRECT, CONSEQUENTIAL, EXEMPLARY, INCIDENTAL, SPECIAL OR PUNITIVE DAMAGES, INCLUDING, WITHOUT LIMITATION, LOSS OF PROFITS, WHETHER INCURRED DIRECTLY OR INDIRECTLY, OR ANY LOSS OF DATA, USE, GOODWILL, OR OTHER INTANGIBLE LOSSES, RESULTING FROM: (I) YOUR ACCESS TO OR USE OF OR INABILITY TO ACCESS OR USE THE SERVICE, (II) THE CONDUCT OR CONTENT OF OTHER MEMBERS OR THIRD PARTIES ON, THROUGH, OR FOLLOWING USE OF THE SERVICE.
OR (III) UNAUTHORIZED ACCESS, USE OR ALTERATION OF YOUR CONTENT, EVEN IF TINDER HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",0.9848858396529053
validation,"<p>You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent.
However, if you do not accept cookies, you may not be able to use some portions of our Services.","<p>You can instruct your browser to refuse all cookies or to indicate when a cookie is being sent.
However, if you do not accept cookies, you may not be able to use some portions of our Service.",0.9846635096504859
test,"If for any reason
a court of competent jurisdiction finds any provision of the Terms of Use, or any portion
thereof, to be unenforceable, that provision shall be enforced to the maximum extent
permissable so as to effect the intent of the parties as reflected by that provision, and
the remainder of the Terms of Use shall continue in full force and effect.","If for any reason a court of competent jurisdiction finds any provision of the Terms of Use, or portion thereof, to be unenforceable, that provision shall be enforced to the maximum extent permissible so as to effect the intent of the parties as reflected by that provision, and the remainder of the Terms of Use shall continue in full force and effect.",0.9843950525380991
test,ANY MATERIAL DOWNLOADED OR OTHERWISE OBTAINED THROUGH THE USE OF THE SERVICES IS DONE AT YOUR OWN DISCRETION AND RISK AND YOU WILL BE SOLELY RESPONSIBLE FOR ANY DAMAGE TO YOUR COMPUTER SYSTEM OR LOSS OF DATA THAT RESULTS FROM THE DOWNLOAD OF ANY SUCH MATERIAL.,ANY MATERIAL DOWNLOADED OR OTHERWISE OBTAINED THROUGH THE USE OF THE SERVICES IS DONE AT YOUR OWN DISCRETION AND RISK AND THAT YOU WILL BE SOLELY RESPONSIBLE FOR ANY DAMAGE TO YOUR COMPUTER SYSTEM OR OTHER DEVICE OR LOSS OF DATA THAT RESULTS FROM THE DOWNLOAD OF ANY SUCH MATERIAL.,0.9839244401241607
validation,These terms of use and any dispute or claim arising out of or in connection with them or their subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the law of England and Wales.</p>,These terms of use and any dispute or claim arising out of or in connection with them or their subject matter or formation (including non-contractual disputes or claims) shall be governed by and construed in accordance with the law of England and Wales.,0.9834213795344379
validation,"We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised ads and content, ad and content measurement, and audience insights, as well as to develop and improve products.","We and our partners store and/or access information on a device, such as cookies and process personal data, such as unique identifiers and standard information sent by a device for personalised ads and content, ad and content measurement, and audience insights, as well as to develop and improve products.</p>
<",0.9834173420910467
test,"that the Service will be uninterrupted, timely, secure, or error-free.","that our services will be uninterrupted, timely, secure, or error-free.",0.9829842261273486
test,"If we fail to comply with these terms, we are responsible for loss or damage you suffer that is a foreseeable result of our breaking the Contract or our failing to use reasonable care and skill, but we are not responsible for any loss or damage that is not foreseeable.","If we fail to comply with these Terms, we are responsible for loss or damage you suffer that is a foreseeable result of our breaking these Terms or our failing to use reasonable care and skill, but we are not responsible for any loss or damage that is not foreseeable.",0.9826852585575027
test,"If any provision of the Terms is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties’ intentions as reflected in the provision, and the other provisions of the Terms remain in full force and effect.","If any provision of these Terms of Service is found by a court of competent jurisdiction to be invalid, the parties nevertheless agree that the court should endeavor to give effect to the parties’ intentions as reflected in the provision, and the other provisions of the Terms of Service remain in full force and effect.",0.9823775372403594
validation,"The company may restrict, suspend, or close your account on the website according to its policy for handling copyright-related takedown requests, or if the company reasonably believes that you’ve breached these terms.","The company may restrict, suspend, or close your account on the website according to its policy for handling copyright-related takedown requests, or if the company reasonably believes that you’ve breached these terms.</p>",0.9823207044849578
validation,"If you use the Site for any commercial, business or re-sale purpose we will have no liability to you for any loss of profit, loss of business, business interruption, or loss of business opportunity.","If you use the items for any commercial, business or re-sale purpose we will have no liability to you for any loss of profit, loss of business, business interruption, or loss of business opportunity.",0.9822680241104846
validation,"Tinder reserves the right to investigate and/ or terminate your account without a refund of any purchases if you have violated this Agreement, misused the Service or behaved in a way that Tinder regards as inappropriate or unlawful, including actions or communications that occur on or off the Service.","Tinder reserves the right to investigate and/or terminate your account without a refund of any purchases if you have violated this Agreement, misused the Service or behaved in a way that Tinder regards as inappropriate or unlawful, including actions or communications that occur on or off the Service. ",0.9822486093187918
test,How Do We Use Personal Information?,How do we use your Personal Information?,0.9822104260060434
validation,"For Business transfers:</strong> We may share or transfer Your personal information
in connection with, or during negotiations of, any merger, sale of Company assets,
financing, or acquisition of all or a portion of our business to another company.</li>
<li>","For business transfers:</strong> We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of our business to another company.</p>
</li>",0.9821640590749895
test,The failure of the Company to exercise or enforce any right or provision of these Terms of Use shall not constitute a waiver of such right or provision.,The failure of the Company to exercise or enforce any right or provision of these Terms shall not constitute a waiver of such right or provision,0.9820148168877015
test,"Although we do our best to honor the privacy preferences of our users, we are unable to respond to Do Not Track signals set by your browser at this time.","Although we do our best to honor the privacy preferences of our users, we are unable to respond to Do Not Track signals set by your browser at this time",0.9817540693367457
test,"If at any time the User would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email or the User may contact us via our Site.</p>","If at any time the User would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email or User may contact us via our Site.",0.9813263821872545
test,"We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.</li>
</ul>
<ul>
<li>","We may share or transfer your information in connection with, or during negotiations of, any merger, sale of company assets, financing, or acquisition of all or a portion of our business to another company.</li>
</ul>",0.9813166609580725
test,We do not currently take actions to respond to Do Not Track signals because a uniform technological standard has not yet been developed.,<p>We do not currently take actions to respond to Do Not Track signals because a uniform technological standard has not yet been developed.,0.981261025902292
validation,"You are responsible for maintaining the confidentiality of your password and account, if any, and are fully responsible for any and all activities that occur under your password or account.","<p>You are responsible for maintaining the confidentiality of your password and account, if any, and are fully responsible for any and all activities that occur under your password or account.",0.9812015667751915
validation,"<p>We use Google AdSense Advertising on our website.</p>
<p>Google, as a third-party vendor, uses cookies to serve ads on our site.","We use Google AdSense Advertising on our website.</p>
<p>Google, as a third-party vendor, uses cookies to serve ads on our site.",0.9804308098640853
test,How do we use your information? <p>,How Do We Use Information? <p>,0.9801917615900273
validation,"We share personal information about you with service providers that help with our business activities, including shipping vendors, billing and refund vendors, payment card processors, marketing and advertising vendors, and companies that help us improve our products and services.","<br>We share personal information about you with service providers that help with our business activities, including shipping vendors, billing and refund vendors, payment card processors, marketing and advertising vendors, and companies that help us improve our products and services.",0.9801550140078484
test,You can download and export a copy of all of your data and content in your Fastmail account if you want to back it up or use it with a service outside of Fastmail.,You can download and export a copy of all of your data and content in your Fastmail account if you want to back it up or use it with a service outside of Fastmail,0.979749701371219
test,"Nous ne transmettons aucune donnée à des tiers non autorisés, sauf si la loi ou un jugement nous y obligent.</p>","Nous ne transmettons aucune donnée à des tiers non autorisés, sauf si la loi ou un jugement nous y obligent.",0.9796594410607902
test,"4.4.LINE reserves the right to delete any account that has been inactive for a period of one (1) year or more since its last activation, without any prior notice to the applicable User.","4.4.LINE reserves the right to delete any account that has been inactive for a period of one (1) year or more since its last activation, without any prior notice to the applicable",0.9796566032304197
validation,"(D) have the potential to incite or produce conduct that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, libelous, vulgar, obscene, invasive of another's privacy, hateful, or racially, ethnically, religiously or sexually discriminatory or otherwise objectionable.","(D) have the potential to incite or produce conduct that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, libelous, vulgar, obscene, invasive of another’s privacy, hateful, or racially, ethnically, religiously or sexually discriminatory or otherwise objectionable.",0.9796179672023064
